sentinel_depth,sentinel_temperature,sentinel_salinity,sentinel_density,slocum_depth,slocum_temperature,slocum_salinity,slocum_density
-0.79,2.9938,32.1457,1025.4902,6.8,3.0259,32.15,1025.4908
-0.81,2.9945,32.1446,1025.4893,6.45,3.0288,32.1502,1025.4908
-0.81,2.9917,32.1483,1025.4924,6.1,3.0264,32.1491,1025.4901
-0.79,2.9923,32.1477,1025.4919,5.73,3.0266,32.1535,1025.4936
-0.81,2.9929,32.1466,1025.491,5.37,3.0341,32.1521,1025.4919
-0.8,2.9918,32.1481,1025.4922,4.96,3.0354,32.1501,1025.4901
-0.79,2.9905,32.1486,1025.4928,4.53,3.0405,32.1519,1025.4911
-0.81,2.9918,32.1469,1025.4912,4.03,3.0365,32.148,1025.4884
-0.79,2.992,32.1469,1025.4913,3.52,3.0367,32.1493,1025.4894
-0.82,2.9921,32.1456,1025.4902,3.01,3.0492,32.1555,1025.4933
-0.82,2.9904,32.1481,1025.4924,2.59,3.0395,32.1459,1025.4865
-0.79,2.9911,32.1475,1025.4918,2.27,3.0457,32.1524,1025.4911
-0.81,2.9922,32.1448,1025.4895,2.01,3.0515,32.1568,1025.4941
-0.8,2.9917,32.1455,1025.4902,1.77,3.0528,32.1556,1025.4931
-0.8,2.9916,32.1447,1025.4896,-0.1,3.0527,32.1524,1025.4905
-0.85,2.992,32.1455,1025.4901,-0.04,3.0486,32.1512,1025.4899
-0.82,2.992,32.1465,1025.491,-0.01,3.0481,32.1507,1025.4896
-0.8,2.9917,32.1459,1025.4905,-0.02,3.0474,32.1511,1025.4899
-0.81,2.9917,32.1457,1025.4904,-0.04,3.0464,32.1521,1025.4908
-0.8,2.9913,32.1475,1025.4918,-0.03,3.048,32.1517,1025.4903
-0.8,2.991,32.1475,1025.4918,0.01,3.0486,32.1511,1025.4898
-0.81,2.9904,32.1484,1025.4926,0.03,3.0484,32.1528,1025.4912
-0.79,2.9916,32.145,1025.4898,0.01,3.049,32.1514,1025.49
-0.8,2.9926,32.1454,1025.4901,-0.05,3.0492,32.1512,1025.4899
-0.81,2.9918,32.145,1025.4898,-0.04,3.0493,32.1511,1025.4898
-0.79,2.9917,32.1469,1025.4913,-0.02,3.0485,32.1509,1025.4897
-0.79,2.9927,32.1455,1025.4901,0.06,3.0453,32.1494,1025.4887
-0.79,2.9911,32.1449,1025.4897,0.12,3.0448,32.1521,1025.491
-0.79,2.9891,32.1467,1025.4914,0.1,3.0471,32.1521,1025.4908
-0.79,2.9885,32.1503,1025.4942,0.09,3.0463,32.1522,1025.4909
-0.8,2.9891,32.1494,1025.4935,0.08,3.0449,32.1528,1025.4915
-0.81,2.9861,32.151,1025.495,0.06,3.0451,32.1537,1025.4922
-0.8,2.9878,32.1493,1025.4935,0.01,3.0479,32.1515,1025.4902
-0.81,2.9874,32.1497,1025.4938,-0.01,3.0462,32.1516,1025.4905
-0.82,2.987,32.1485,1025.4929,-0.03,3.0462,32.1509,1025.4899
-0.81,2.987,32.149,1025.4933,-0.03,3.0456,32.1519,1025.4907
-0.81,2.9893,32.1467,1025.4913,-0.0,3.0441,32.1514,1025.4905
-0.81,2.9911,32.1444,1025.4893,0.05,3.043,32.1514,1025.4905
-0.81,2.9934,32.1429,1025.488,0.1,3.0434,32.1517,1025.4908
-0.8,2.9919,32.1457,1025.4903,0.09,3.0447,32.1508,1025.4899
-0.79,2.9906,32.1459,1025.4905,0.01,3.0444,32.1519,1025.4908
-0.8,2.9904,32.1458,1025.4905,-0.02,3.047,32.1541,1025.4924
-0.8,2.9916,32.145,1025.4898,0.02,3.0477,32.1513,1025.4901
-0.8,2.9939,32.1432,1025.4881,0.06,3.0473,32.1527,1025.4912
-0.8,2.9929,32.1456,1025.4902,0.03,3.0469,32.1518,1025.4905
-0.8,2.9941,32.1442,1025.4889,0.01,3.0465,32.1515,1025.4903
-0.79,2.9934,32.1454,1025.4899,0.03,3.0461,32.1522,1025.4909
-0.79,2.9937,32.1457,1025.4901,0.07,3.0478,32.1513,1025.4901
-0.8,2.992,32.1457,1025.4903,0.13,3.0472,32.1518,1025.4905
-0.81,2.9937,32.1451,1025.4897,0.2,3.0471,32.1517,1025.4905
-0.79,2.9926,32.1448,1025.4896,0.27,3.0475,32.1518,1025.4905
-0.8,2.993,32.1446,1025.4893,0.34,3.0471,32.1515,1025.4903
-0.79,2.994,32.1436,1025.4884,0.43,3.0473,32.1515,1025.4903
-0.8,2.9929,32.1462,1025.4907,0.54,3.0453,32.153,1025.4916
-0.78,2.993,32.1467,1025.491,0.68,3.0446,32.152,1025.4909
-0.82,2.9924,32.1467,1025.4911,0.85,3.0456,32.1512,1025.4901
-0.82,2.9924,32.1465,1025.4909,1.02,3.0438,32.152,1025.491
-0.82,2.9923,32.1481,1025.4922,1.2,3.0434,32.1487,1025.4884
-0.81,2.9945,32.1459,1025.4902,1.38,3.0414,32.1496,1025.4893
-0.79,2.9941,32.1475,1025.4915,1.54,3.0342,32.1502,1025.4903
-0.78,2.9937,32.1465,1025.4908,1.7,3.0231,32.1535,1025.4939
-0.78,2.9925,32.1478,1025.492,1.87,3.0394,32.152,1025.4913
-0.78,2.9928,32.1475,1025.4917,2.03,3.0409,32.1521,1025.4913
-0.77,2.9932,32.1467,1025.491,2.21,3.0422,32.1518,1025.4909
-0.76,2.994,32.1454,1025.4899,2.39,3.0412,32.1512,1025.4906
-0.75,2.9936,32.1476,1025.4917,2.59,3.0422,32.1516,1025.4908
-0.66,2.992,32.1482,1025.4923,2.8,3.0414,32.1509,1025.4903
-0.61,2.9914,32.1468,1025.4912,3.01,3.0403,32.1516,1025.4909
-0.5,2.9908,32.1489,1025.493,3.22,3.0353,32.1524,1025.492
-0.43,2.9905,32.1473,1025.4917,3.42,3.0378,32.1521,1025.4916
-0.31,2.9893,32.1492,1025.4933,3.63,3.0313,32.1528,1025.4926
-0.2,2.9895,32.1485,1025.4927,3.83,3.0301,32.1524,1025.4925
-0.07,2.9886,32.1498,1025.4938,4.05,3.0263,32.1502,1025.491
0.06,2.9904,32.1483,1025.4925,4.28,3.0298,32.152,1025.4921
0.24,2.9928,32.148,1025.492,4.53,3.0192,32.1521,1025.4931
0.43,2.9927,32.1488,1025.4927,4.75,3.0361,32.1491,1025.4893
