,sentinel_depth,sentinel_temperature,sentinel_salinity,sentinel_density,slocum_depth,slocum_temperature,slocum_salinity,slocum_density
239,-1.1800000071525574,3.025599956512451,31.7621447558565,1025.1832882980787,21.24000072479248,3.3176000118255615,32.274872914605815,1025.564704307843
240,-1.1900000274181366,3.0171000957489014,31.750152051456833,1025.174482332516,21.059999465942383,3.3066999912261963,32.2719705373857,1025.56336557703
241,-1.1800000071525574,3.0162999629974365,31.76391810255625,1025.1854666833829,20.910000801086426,3.301300048828125,32.27212566718908,1025.5639638744979
242,-1.1999999731779099,3.0237998962402344,31.741731986229883,1025.1672486661844,20.789999961853027,3.296999931335449,32.270808466728134,1025.563298547472
243,-1.1900000274181366,3.022700071334839,31.753849900281008,1025.176950527956,20.59999942779541,3.290600061416626,32.267157220350505,1025.560968136211
244,-1.1800000071525574,3.0290000438690186,31.749329707652105,1025.1728425473666,20.369999408721924,3.27810001373291,32.26526537495979,1025.5605663410163
245,-1.1900000274181366,3.0264999866485596,31.751438651853938,1025.1747227346334,20.179998874664307,3.2709999084472656,32.25832272932967,1025.5556873970186
246,-1.1900000274181366,3.024600028991699,31.757919178761586,1025.1800200983616,20.00999927520752,3.247999906539917,32.25370772289996,1025.5540414673537
247,-1.1999999731779099,3.025399923324585,31.743188126684352,1025.1682707250902,19.769999980926514,3.2360999584198,32.23248261474798,1025.5382585873997
248,-1.209999993443489,3.0192999839782715,31.766921076622936,1025.1875994428224,19.47000026702881,3.171299934387207,32.22268415272719,1025.5361083995442
249,-1.159999966621399,3.0269999504089355,31.757115357976545,1025.179183291148,19.249999523162842,3.0947000980377197,32.156654926887235,1025.4903234947408
250,-1.1999999731779099,3.0248000621795654,31.751905646775555,1025.1752342439802,19.02999997138977,2.970900058746338,32.1708550974254,1025.5120292311099
251,-1.2200000137090683,3.027600049972534,31.762011852555013,1025.1830167420255,18.75,2.952699899673462,32.170583872903535,1025.5133337410657
252,-1.209999993443489,3.0260000228881836,31.86877376284495,1025.2678211537686,18.43000054359436,2.947499990463257,32.16926156747106,1025.5127181066823
253,-1.209999993443489,3.0202999114990234,31.90172593130517,1025.2944309701352,18.19000005722046,2.9488000869750977,32.16516541449907,1025.509360092547
